Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2020,Comoros,COM,Sub-Saharan Africa,Lower middle income,..,"Code de la Famille, Arts. 14 et 21-23",Yes,"Code de la Famille, Art. 15",No,No applicable provisions could be located,Yes,"Code Pénal, Art. 172",Yes,"Loi No. 14-036/AU, Arts. 29-31",No,No applicable provisions could be located,Yes,"Loi Instituant une Carte Nationale d’Identité, Art. 2; ID card application procedures",No,La Constitution Comorienne,N/A,
2020,"Congo, Dem. Rep.",ZAR,Sub-Saharan Africa,Low income,18,"Loi No. 09/001 du 10 janvier 2009 portant protection de l'enfant, Arts. 2 et 48; Loi No. 16/008 du 15 Juillet 2016 Modifiant et Complétant la Loi No. 87-010 du 1er Aout 1987 Portant Code de la Famille, Art. 352",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi No. 16/008 du 15 Juillet 2016 Modifiant et Complétant la Loi No. 87-010 du 1er Aout 1987 Portant Code de la Famille, Arts. 420, 422, 423 et 425",No,No applicable provisions could be located,No,No applicable provisions could be located,N/A,No applicable provisions could be located,Yes,"Constitution de la République Démocratique du Congo, Arts. 153 et 207",Yes,"Constitution de la République Démocratique du Congo, Art. 207"
2020,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,18,"Code de la Famille, Art. 128 ",Yes,"Code de la Famille, Arts. 128 and 130-133",Yes,"Code de la Famille, Art. 156(3)",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,"Décret No. 27-27 du 2 Avril 2007, Arts. 1(7) et 8; ID card application procedures",No,Constitution de la République du Congo,N/A,
2020,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,18,"Código de Familia, Art. 14(7)",No,No applicable provisions could be located,Yes,"Código de Familia, Arts. 14(7) y 64",Yes,"Código Penal, Arts. 176 y 179",Yes,"Ley de Penalización de la Violencia contra las Mujeres No. 8589, Cap. II",Yes,"Ley contra la Violencia Doméstica No. 7586, Cap. III; Creación de un Juzgado de Violencia Doméstica en el Segundo Circuito Judicial de San José Ley No. 8128",Yes,"Ley No. 3504 Orgánica del Tribunal Supremo de Elecciones y del Registro Civil, Art. 89; ID card application procedures",No,Constitución Política de la Republica de Costa Rica,N/A,
2020,Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,18,"Loi No. 2019-570 du 26 juin 2019 relative au mariage, Art. 2",No,No applicable provisions could be located,Yes,"Loi No. 2019-570 du 26 juin 2019 relative au mariage, Art. 26",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi No. 24-33 du 3 Mai 24 Relative a l’Identification des Personnes et au Séjour des Etrangers en Côte d’Ivoire, Art. 3; ID card application procedures",Yes,"Constitution de la République de Côte d'Ivoire, 2016, Arts. 101 et 175",Yes,"Constitution de la République de Côte d'Ivoire, Art. 101"
2020,Croatia,HRV,Europe & Central Asia,High income,18,"Family Law, Art. 25(1)",Yes,"Family Law, Art. 25(2)",Yes,"Family Law, Art. 29",Yes,"Criminal Code, Art. 168",Yes,"Law on Protection Against Domestic Violence 126/19, Art. 22; Criminal Code, Art. 179a",Yes,"Law on Protection Against Domestic Violence 126/19, Arts. 4-5 and 11-19; Rules of Procedure in Cases of Domestic Violence ",Yes,"Law on Identity Cards, Art. 3; ID card application procedures",No,Constitution of the Republic of Croatia,N/A,N/A
2020,Cyprus,CYP,Europe & Central Asia,High income,18," Marriage Law of 2003, Sec. 14(3)(a)",Yes,"Marriage Law of 2003, Sec. 15(1)",Yes," Marriage Law of 2003, Sec. 22(1)(a)",Yes,"Marriage Law of 2003, Sec. 33",Yes,"Family Violence (Victim Prevention and Protection) Act of 2000  (119 (I) / 2000), Secs. 3(4) and 4",Yes,"Family Violence (Victim Prevention and Protection) Act of 2000 (119 (I) / 2000), Parts IV-VI",Yes,"Civil Registry Law 141(I)/2002, Arts. 59 and 61; ID card application form and procedures",No,The Constitution of the Republic of Cyprus,N/A,
2020,Czech Republic,CZE,High income: OECD,High income,18,"Civil Code, Act No. 89/2012, Secs. 30(1) and 672(1)",Yes,"Civil Code, Act No. 89/2012, Sec. 672(2)",Yes,"Civil Code, Act No. 89/2012, Sec. 680",No,No applicable provisions could be located,Yes,"Penal Code, Act No. 40/2009, Sec. 199",Yes,"Domestic Violence Act No. 135/2006; Special Court Proceedings Act No 292/2013, Secs. 400-414",Yes,ID card application procedures; ID card forms,No,Constitution of the Czech Republic,N/A,
2020,Denmark,DNK,High income: OECD,High income,18,"Guidance Note No. 9045 of 01/24/2017 on the Treatment of Matrimonial Matters, Sec. 2.2",No,"Guidance Note No. 9045 of 01/24/2017 on the Treatment of Matrimonial Matters, Sec. 2.2",Yes,"Order No. 9045 of 01/24/2017 on the Treatment of Matrimonial Matters, Ch. 7",No,No applicable provisions could be located,Yes,"Criminal Code, Secs. 213 and 244-245     ",Yes,"Act No. 112 of 03/02/2012; Public Prosecutions Announcement No. 3/2008, Sec. 7",Yes,Act on the Issuance of Identification Cards of 2017; Executive Order on the Issuance of Identification Cards,No,Constitution of Denmark,N/A,
2020,Djibouti,DJI,Middle East & North Africa,Lower middle income,..,"Code de la Famille, Arts. 7, 13, 14 et 169",Yes,"Code de la Famille, Arts. 14 et 16",Yes,"Code de la Famille, Art. 29",Yes,"Code Pénal, Art. R.5(3)",Yes,"Code Pénal, Arts. 325(4), 329, 332, 335 and 336",No,No applicable provisions could be located,Yes,"Décret No. 215-345/PR/MI Portant Modification du Décret No. 213-356/PR/MI Relatif au Changement de la Carte Nationale d’Identité, Art. 1; ID card application procedures",Yes,"La Constitution de la République de Djibouti, Art. 96",Yes,"La Constitution de la République de Djibouti, Art. 96"
